,
Device,Instance,Datapoint,Start,End,Min,Max,Average,Change(%),Change(Delta)
rba (rba.logicmonitor.com),_Customer Success-rba,planCommitPercent,16.00,16.00,16.00,16.00,16.00,0.00,0.00
rdacorp (rdacorp.logicmonitor.com),_Customer Success-rdacorp,planCommitPercent,132.00,132.00,132.00,132.00,132.00,0.00,0.00
redeye (redeye.logicmonitor.com),_Customer Success-redeye,planCommitPercent,36.00,36.00,36.00,36.00,36.00,0.00,0.00
ruletech (ruletech.logicmonitor.com),_Customer Success-ruletech,planCommitPercent,116.00,116.00,116.00,116.00,116.00,0.00,0.00
ryata (ryata.logicmonitor.com),_Customer Success-ryata,planCommitPercent,80.00,80.00,80.00,80.00,80.00,0.00,0.00
sachse (sachse.logicmonitor.com),_Customer Success-sachse,planCommitPercent,32.00,32.00,32.00,32.00,32.00,0.00,0.00
santechsystems (santechsystems.logicmonitor.com),_Customer Success-santechsystems,planCommitPercent,68.00,80.00,68.00,84.00,71.68,17.65,12.00
scca (scca.logicmonitor.com),_Customer Success-scca,planCommitPercent,44.00,44.00,44.00,44.00,44.00,0.00,0.00
sidoti (sidoti.logicmonitor.com),_Customer Success-sidoti,planCommitPercent,100.00,100.00,100.00,100.00,100.00,0.00,0.00
silprosolutions (silprosolutions.logicmonitor.com),_Customer Success-silprosolutions,planCommitPercent,100.00,100.00,100.00,100.00,100.00,0.00,0.00
sitel (sitel.logicmonitor.com),_Customer Success-sitel,planCommitPercent,72.00,72.00,72.00,72.00,72.00,0.00,0.00
skokie (skokie.logicmonitor.com),_Customer Success-skokie,planCommitPercent,48.00,48.00,48.00,48.00,48.00,0.00,0.00
socialsecuritysolutions (socialsecuritysolutions.logicmonitor.com),_Customer Success-socialsecuritysolutions,planCommitPercent,40.00,40.00,40.00,40.00,40.00,0.00,0.00
speakwithageek (speakwithageek.logicmonitor.com),_Customer Success-speakwithageek,planCommitPercent,20.00,20.00,20.00,20.00,20.00,0.00,0.00
stdavidsfoundation (stdavidsfoundation.logicmonitor.com),_Customer Success-stdavidsfoundation,planCommitPercent,100.00,92.00,92.00,100.00,98.34,-8.00,-8.00
sterlinghoffman (sterlinghoffman.logicmonitor.com),_Customer Success-sterlinghoffman,planCommitPercent,92.00,92.00,92.00,92.00,92.00,0.00,0.00
systnet (systnet.logicmonitor.com),_Customer Success-systnet,planCommitPercent,128.00,124.00,124.00,128.00,126.34,-3.13,-4.00
talivity (talivity.logicmonitor.com),_Customer Success-talivity,planCommitPercent,80.00,80.00,80.00,80.00,80.00,0.00,0.00
tecadatasafe (tecadatasafe.logicmonitor.com),_Customer Success-tecadatasafe,planCommitPercent,244.00,264.00,244.00,264.00,244.83,8.20,20.00
thedacare (thedacare.logicmonitor.com),_Customer Success-thedacare,planCommitPercent,64.00,64.00,64.00,64.00,64.00,0.00,0.00
thevoid (thevoid.logicmonitor.com),_Customer Success-thevoid,planCommitPercent,188.00,192.00,156.00,196.00,179.06,2.13,4.00
totalnetworks (totalnetworks.logicmonitor.com),_Customer Success-totalnetworks,planCommitPercent,124.00,124.00,120.00,124.00,122.15,0.00,0.00
towercompanies (towercompanies.logicmonitor.com),_Customer Success-towercompanies,planCommitPercent,64.00,64.00,64.00,64.00,64.00,0.00,0.00
townandcountrybk (townandcountrybk.logicmonitor.com),_Customer Success-townandcountrybk,planCommitPercent,20.00,20.00,20.00,20.00,20.00,0.00,0.00
travismathew (travismathew.logicmonitor.com),_Customer Success-travismathew,planCommitPercent,104.00,104.00,104.00,106.00,104.00,0.00,0.00
triintl (triintl.logicmonitor.com),_Customer Success-triintl,planCommitPercent,108.00,108.00,108.00,108.00,108.00,0.00,0.00
usdataworks (usdataworks.logicmonitor.com),_Customer Success-usdataworks,planCommitPercent,76.00,76.00,76.00,76.00,76.00,0.00,0.00
varitecsolutions (varitecsolutions.logicmonitor.com),_Customer Success-varitecsolutions,planCommitPercent,52.00,56.00,52.00,56.00,54.05,7.69,4.00
veneratus (veneratus.logicmonitor.com),_Customer Success-veneratus,planCommitPercent,92.00,92.00,92.00,92.00,92.00,0.00,0.00
vulcan (vulcan.logicmonitor.com),_Customer Success-vulcan,planCommitPercent,56.00,56.00,56.00,56.00,56.00,0.00,0.00
wealthcloud (wealthcloud.logicmonitor.com),_Customer Success-wealthcloud,planCommitPercent,12.00,12.00,12.00,12.00,12.00,0.00,0.00
wilmette39 (wilmette39.logicmonitor.com),_Customer Success-wilmette39,planCommitPercent,32.00,32.00,32.00,32.00,32.00,0.00,0.00
